index,question,A,B,C,D,E,category,clinical VQA task,department,perceptual granularity,modality,original task
20897,Determine which part is illustrated in the image.,lymphocyte,neutrophil,monocyte,eosinophil,,neutrophil,Microorganism Recognition,Hematology,Image level,Microscopy,CLS_2D
,,,,,,,,,,,,
20916,Please identify the part shown in the image.,lymphocyte,erythroblast,myelocyte,band neutrophil,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20917,Please identify which of the following options the content shown in the image belongs to?,myelocyte,immature lymphocyte,segmented neutrophil,metamyelocyte,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20918,Identify the option that the content of the image corresponds to.,proerythroblast,band neutrophil,erythroblast,myelocyte,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20920,Determine which part is illustrated in the image.,erythroblast,myelocyte,immature lymphocyte,smudge cell,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20922,Please identify which of the following options the content shown in the image belongs to?,other cell,myelocyte,smudge cell,proerythroblast,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20923,Identify the option that the content of the image corresponds to.,promyelocyte,lymphocyte,myelocyte,other cell,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20924,Please determine which option best matches the content displayed in the image.,proerythroblast,metamyelocyte,myelocyte,promyelocyte,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20928,Please identify the part shown in the image.,faggott cell,artefact,hairy cell,myelocyte,,myelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
20941,Please identify which of the following options the content shown in the image belongs to?,monocyte,artefact,myelocyte,segmented neutrophil,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20942,Determine which part is illustrated in the image.,metamyelocyte,smudge cell,segmented neutrophil,faggott cell,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20944,Please identify which of the following options the content shown in the image belongs to?,smudge cell,monocyte,band neutrophil,segmented neutrophil,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20946,Please identify the part shown in the image.,immature lymphocyte,basophil,metamyelocyte,segmented neutrophil,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20947,Please determine which option best matches the content displayed in the image.,monocyte,segmented neutrophil,abnormal eosinophil,immature lymphocyte,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20948,Identify the option that the content of the image corresponds to.,segmented neutrophil,lymphocyte,abnormal eosinophil,other cell,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20952,Please identify the part shown in the image.,promyelocyte,hairy cell,smudge cell,segmented neutrophil,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20953,Please determine which option best matches the content displayed in the image.,myelocyte,segmented neutrophil,monocyte,band neutrophil,,segmented neutrophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
20960,Determine which part is illustrated in the image.,band neutrophil,metamyelocyte,artefact,hairy cell,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20961,Please identify which of the following options the content shown in the image belongs to?,hairy cell,segmented neutrophil,myelocyte,monocyte,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20963,Please determine which option best matches the content displayed in the image.,hairy cell,band neutrophil,not identifiable,eosinophil,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20964,Identify the option that the content of the image corresponds to.,proerythroblast,hairy cell,immature lymphocyte,faggott cell,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20969,Determine which part is illustrated in the image.,monocyte,metamyelocyte,abnormal eosinophil,hairy cell,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20970,Please identify the part shown in the image.,artefact,abnormal eosinophil,hairy cell,basophil,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20971,Please identify which of the following options the content shown in the image belongs to?,basophil,lymphocyte,hairy cell,artefact,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
20973,Identify the option that the content of the image corresponds to.,hairy cell,metamyelocyte,promyelocyte,other cell,,hairy cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
21035,Please determine which option best matches the content displayed in the image.,eosinophil,blast,lymphocyte,faggott cell,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21036,Please identify the part shown in the image.,faggott cell,basophil,eosinophil,promyelocyte,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21037,Identify the option that the content of the image corresponds to.,blast,faggott cell,band neutrophil,segmented neutrophil,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21040,Determine which part is illustrated in the image.,faggott cell,smudge cell,basophil,segmented neutrophil,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21050,Please determine which option best matches the content displayed in the image.,lymphocyte,erythroblast,faggott cell,eosinophil,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21051,Determine which part is illustrated in the image.,band neutrophil,erythroblast,eosinophil,faggott cell,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21052,Please identify the part shown in the image.,monocyte,artefact,myelocyte,faggott cell,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21053,Please identify the part shown in the image.,blast,lymphocyte,other cell,faggott cell,,faggott cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
21063,Identify the option that the content of the image corresponds to.,other cell,myelocyte,hairy cell,metamyelocyte,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21064,Please identify which of the following options the content shown in the image belongs to?,promyelocyte,segmented neutrophil,metamyelocyte,other cell,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21072,Please determine which option best matches the content displayed in the image.,metamyelocyte,promyelocyte,other cell,plasma cell,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21073,Determine which part is illustrated in the image.,metamyelocyte,hairy cell,immature lymphocyte,smudge cell,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21074,Identify the option that the content of the image corresponds to.,metamyelocyte,monocyte,smudge cell,faggott cell,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21075,Please identify the part shown in the image.,proerythroblast,metamyelocyte,immature lymphocyte,not identifiable,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21076,Please determine which option best matches the content displayed in the image.,metamyelocyte,proerythroblast,abnormal eosinophil,monocyte,,metamyelocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
21083,Determine which part is illustrated in the image.,smudge cell,blast,proerythroblast,immature lymphocyte,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21084,Please determine which option best matches the content displayed in the image.,blast,faggott cell,lymphocyte,metamyelocyte,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21085,Please identify which of the following options the content shown in the image belongs to?,blast,lymphocyte,monocyte,promyelocyte,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21094,Determine which part is illustrated in the image.,other cell,promyelocyte,band neutrophil,blast,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21095,Please identify which of the following options the content shown in the image belongs to?,erythroblast,not identifiable,segmented neutrophil,blast,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21096,Identify the option that the content of the image corresponds to.,smudge cell,erythroblast,not identifiable,blast,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21098,Please determine which option best matches the content displayed in the image.,faggott cell,not identifiable,myelocyte,blast,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21099,Please identify the part shown in the image.,blast,plasma cell,proerythroblast,artefact,,blast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
21134,Please determine which option best matches the content displayed in the image.,segmented neutrophil,plasma cell,smudge cell,erythroblast,,smudge cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21135,Please identify which of the following options the content shown in the image belongs to?,smudge cell,proerythroblast,promyelocyte,other cell,,smudge cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21136,Determine which part is illustrated in the image.,smudge cell,faggott cell,proerythroblast,blast,,smudge cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21137,Please identify the part shown in the image.,smudge cell,abnormal eosinophil,segmented neutrophil,band neutrophil,,smudge cell,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
21177,Please identify which of the following options the content shown in the image belongs to?,monocyte,not identifiable,lymphocyte,abnormal eosinophil,,lymphocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21178,Please identify the part shown in the image.,faggott cell,erythroblast,lymphocyte,hairy cell,,lymphocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21179,Please determine which option best matches the content displayed in the image.,proerythroblast,erythroblast,band neutrophil,lymphocyte,,lymphocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21180,Identify the option that the content of the image corresponds to.,monocyte,neutrophil,eosinophil,lymphocyte,,lymphocyte,Microorganism Recognition,Hematology,Image level,Microscopy,CLS_2D
,,,,,,,,,,,,
21181,Determine which part is illustrated in the image.,monocyte,lymphocyte,abnormal eosinophil,basophil,,basophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21196,Identify the option that the content of the image corresponds to.,artefact,other cell,basophil,blast,,basophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21197,Please identify the part shown in the image.,metamyelocyte,plasma cell,basophil,segmented neutrophil,,basophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21198,Identify the option that the content of the image corresponds to.,lymphocyte,myelocyte,basophil,hairy cell,,basophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21199,Determine which part is illustrated in the image.,basophil,myelocyte,band neutrophil,segmented neutrophil,,basophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21200,Please identify the part shown in the image.,segmented neutrophil,basophil,plasma cell,immature lymphocyte,,basophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21201,Determine which part is illustrated in the image.,basophil,hairy cell,proerythroblast,band neutrophil,,basophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
21213,Determine which part is illustrated in the image.,abnormal eosinophil,not identifiable,eosinophil,faggott cell,,eosinophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21214,Please determine which option best matches the content displayed in the image.,not identifiable,faggott cell,hairy cell,eosinophil,,eosinophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21215,Please identify the part shown in the image.,band neutrophil,myelocyte,eosinophil,metamyelocyte,,eosinophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21217,Please identify which of the following options the content shown in the image belongs to?,basophil,abnormal eosinophil,lymphocyte,eosinophil,,eosinophil,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
21254,Please identify the part shown in the image.,plasma cell,erythroblast,not identifiable,hairy cell,,erythroblast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21255,Please identify the part shown in the image.,band neutrophil,erythroblast,hairy cell,other cell,,erythroblast,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
21256,Please determine which option best matches the content displayed in the image.,hairy cell,segmented neutrophil,immature lymphocyte,blast,,immature lymphocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21257,Please identify the part shown in the image.,immature lymphocyte,erythroblast,monocyte,promyelocyte,,immature lymphocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21258,Determine which part is illustrated in the image.,artefact,metamyelocyte,band neutrophil,immature lymphocyte,,immature lymphocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21259,Please identify which of the following options the content shown in the image belongs to?,other cell,immature lymphocyte,hairy cell,band neutrophil,,immature lymphocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21260,Identify the option that the content of the image corresponds to.,immature lymphocyte,basophil,eosinophil,abnormal eosinophil,,immature lymphocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21266,Please determine which option best matches the content displayed in the image.,immature lymphocyte,erythroblast,smudge cell,proerythroblast,,immature lymphocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21268,Please identify the part shown in the image.,erythroblast,immature lymphocyte,hairy cell,basophil,,immature lymphocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
21269,Identify the option that the content of the image corresponds to.,not identifiable,smudge cell,abnormal eosinophil,immature lymphocyte,,immature lymphocyte,Microorganism Recognition,Hematology,Image level,Histopathology,CLS_2D
,,,,,,,,,,,,
12035,Review the image and pick the option that best aligns with the severity illustrated.,normal,acute lymphoblastic leukemia,,,,acute lymphoblastic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
12037,Examine the image and choose the option that most accurately reflects the depicted severity.,normal,acute lymphoblastic leukemia,,,,acute lymphoblastic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
12040,"Observe the image, please select the option that best describes the severity depicted in the picture.",normal,acute lymphoblastic leukemia,,,,acute lymphoblastic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
12041,Look at the picture and select the description that best matches the level of severity shown.,acute lymphoblastic leukemia,normal,,,,acute lymphoblastic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
12042,Review the image and pick the option that best aligns with the severity illustrated.,normal,acute lymphoblastic leukemia,,,,acute lymphoblastic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
12047,Examine the image and choose the option that most accurately reflects the depicted severity.,acute lymphoblastic leukemia,normal,,,,acute lymphoblastic leukemia,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
12057,Observe the image. What is the most likely abnormality shown in the picture?,hematologic malignancies,acute lymphoblastic leukemia,,,,acute lymphoblastic leukemia,Disease Diagnosis,Hematology,Image level,Microscopy,CLS_2D
12058,Which of the following options best matches the symptoms shown in the image?,acute lymphoblastic leukemia,hematologic malignancies,,,,acute lymphoblastic leukemia,Disease Diagnosis,Hematology,Image level,Microscopy,CLS_2D
,,,,,,,,,,,,
13088,"Considering the abnormality visible in the picture, which option corresponds most accurately?",spine scoliosis,knee quadriceps pathology,uterine pathology,arterial pathology,,arterial pathology,Disease Diagnosis,Hematology,Image level,MRI,CLS_2D
13089,Which of the following options best matches the abnormality shown in the image?,pancreatic lesion,intraperitoneal mass,arterial pathology,hip soft tissue mass,,arterial pathology,Disease Diagnosis,Hematology,Image level,MRI,CLS_2D
13090,View the image provided. What is the likely abnormal condition demonstrated?,knee normal,dilated urinary tract,brain acute infarct,arterial pathology,,arterial pathology,Disease Diagnosis,Hematology,Image level,MRI,CLS_2D
13094,Observe the image. What is the most likely abnormality shown in the picture?,hip soft tissue mass,arterial pathology,knee medial collateral ligament pathology,gallbladder pathology,,arterial pathology,Disease Diagnosis,Hematology,Image level,MRI,CLS_2D
13095,"Considering the abnormality visible in the picture, which option corresponds most accurately?",shoulder calcific tendinosis,hip hamstring pathology,ankle or foot normal,arterial pathology,,arterial pathology,Disease Diagnosis,Hematology,Image level,MRI,CLS_2D
13096,Observe the image. What is the most likely abnormality shown in the picture?,shoulder soft tissue fluid,arterial pathology,spine cystic lesions,knee bone inflammation,,arterial pathology,Disease Diagnosis,Hematology,Image level,MRI,CLS_2D
13097,View the image provided. What is the likely abnormal condition demonstrated?,hip normal,knee soft tissue mass,arterial pathology,gallbladder pathology,,arterial pathology,Disease Diagnosis,Hematology,Image level,MRI,CLS_2D
13098,Which of the following options best matches the abnormality shown in the image?,ankle or foot peroneal pathology,arterial pathology,splenic lesion,renal lesion,,arterial pathology,Disease Diagnosis,Hematology,Image level,MRI,CLS_2D
,,,,,,,,,,,,
16404,"Considering the symptoms visible in the picture, which option corresponds most accurately?",follicular lymphoma,mantle cell lymphoma,chronic lymphocytic leukemia,,,follicular lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16405,Observe the image. What is the most likely abnormality shown in the picture?,chronic lymphocytic leukemia,mantle cell lymphoma,follicular lymphoma,,,follicular lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16406,Which of the following options best matches the symptoms shown in the image?,follicular lymphoma,chronic lymphocytic leukemia,mantle cell lymphoma,,,follicular lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16407,View the image provided. What is the likely abnormal condition demonstrated?,chronic lymphocytic leukemia,follicular lymphoma,mantle cell lymphoma,,,follicular lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
16404,"Considering the symptoms visible in the picture, which option corresponds most accurately?",follicular lymphoma,mantle cell lymphoma,chronic lymphocytic leukemia,,,follicular lymphoma,Disease Diagnosis,Hematology,Image level,Histopathology,CLS_2D
